danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_
0.722,0.654,-8.107000000000001,0.0328,0.265,0.00392,0.15,0.904,0.0,175200.0,0
0.239,0.0125,-25.345,0.0338,0.947,0.0118,0.0969999999999999,0.0884,80.475,659053.0,0
0.8290000000000001,0.779,-5.722,0.2189999999999999,0.114,4.16e-06,0.0534,0.539,126.039,245724.0,0
0.87,0.6559999999999999,-5.081,0.1169999999999999,0.0158,0.0,0.106,0.416,162.835,191410.0,1
0.248,0.134,-14.98,0.0476,0.993,0.904,0.115,0.599,87.36200000000001,77333.0,0
0.65,0.557,-7.762,0.312,0.674,0.0,0.11,0.4,129.285,240320.0,1
0.288,0.0605,-24.38,0.049,0.957,6.69e-06,0.6970000000000001,0.17,75.616,309707.0,0
0.609,0.6579999999999999,-5.859,0.337,0.0443,0.0,0.4639999999999999,0.4379999999999999,79.991,119955.0,0
68.0,78.0,-6.0,4.0,13.0,,12.0,40.0,120.0,230.0,1
65.0,59.0,-6.0,6.0,1.0,,11.0,15.0,159.0,245.0,1
0.523,0.6779999999999999,-6.071000000000001,0.0692,0.000616,0.0,0.142,0.2769999999999999,159.909,244194.0,1
0.48,0.61,-7.042000000000001,0.305,0.0456,0.0,0.313,0.297,90.03399999999999,255653.0,1
0.593,0.25,-10.152,0.0349,0.701,1.23e-06,0.421,0.449,119.89299999999999,210280.0,0
0.5660000000000001,0.7190000000000001,-5.02,0.0324,0.0696,0.0,0.103,0.4479999999999999,148.125,246533.0,0
63.0,78.0,-7.0,4.0,0.0,,4.0,28.0,100.0,203.0,1
0.748,0.705,-4.547,0.485,0.204,0.0,0.246,0.483,189.891,208733.0,1
0.424,0.3829999999999999,-14.73,0.0432,0.976,0.8740000000000001,0.319,0.6609999999999999,176.359,58760.0,0
0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,-1.0,1
0.391,0.895,-7.221,0.093,0.000838,0.13,0.114,0.165,180.03900000000002,343906.0,0
0.126,0.0599,-26.183000000000003,0.0407,0.933,0.892,0.178,0.0368,95.084,355787.0,0
